A B
# C:/Users/localadmin/Desktop/Python_Auswertungs_proggi/python/Python2016/ThomsonSpectrometer/data/ion_MOdu/20140227_006ions.tif | Z=1.0 | A=1.0 | binRange=(+-)18 20170427_6 full proton trace summed
2.1502278278 742384
2.13956677397 735540
2.12898481196 778820
2.11848116134 735892
2.10805505129 661412
2.09770572046 662668
2.08743241681 766832
2.07723439748 810628
2.06711092868 750912
2.05706128552 700260
2.04708475192 704144
2.03718062044 728620
2.02734819218 752056
2.01758677667 777228
2.0078956917 778356
1.99827426328 750484
1.98872182542 697464
1.9792377201 711208
1.96982129714 775356
1.96047191404 793924
1.95118893593 710424
1.94197173544 698860
1.93281969256 783824
1.92373219461 790536
1.91470863606 710364
1.9057484185 709932
1.89685095046 791564
1.8880156474 825188
1.87924193154 768704
1.87052923181 724476
1.86187698375 803936
1.8532846294 862632
1.84475161723 781900
1.83627740204 701196
1.82786144488 750932
1.81950321295 808004
1.81120217955 804236
1.80295782395 783148
1.79476963135 800220
1.78663709277 825144
1.77855970499 819692
1.77053697045 791948
1.76256839722 778064
1.75465349885 762260
1.74679179438 757284
1.73898280819 796568
1.73122606999 794236
1.72352111472 749212
1.71586748246 730332
1.70826471841 801324
1.70071237279 869472
1.69321000077 861196
1.68575716242 802152
1.67835342265 747356
1.67099835113 821636
1.66369152224 923100
1.65643251498 881196
1.64922091296 790648
1.64205630429 767208
1.63493828157 815348
1.62786644178 927500
1.62084038626 932292
1.61385972065 809248
1.60692405481 800172
1.60003300279 911212
1.59318618277 893392
1.586383217 852064
1.57962373178 924308
1.57290735734 904872
1.56623372787 792912
1.5596024814 803888
1.55301325981 914604
1.54646570875 953160
1.53995947757 883360
1.53349421934 763520
1.52706959074 751680
1.52068525205 918192
1.51434086707 1031380
1.50803610313 990736
1.50177063099 869932
1.49554412484 838464
1.48935626224 886580
1.48320672407 905668
1.47709519449 913708
1.47102136093 946872
1.464984914 964728
1.4589855475 957916
1.45302295835 930776
1.44709684655 915100
1.44120691518 969420
1.4353528703 1022264
1.42953442097 963388
1.42375127919 1012976
1.41800315987 1083080
1.41228978078 975912
1.40661086253 927772
1.40096612856 1072044
1.39535530503 1128988
1.38977812088 934268
1.38423430772 750496
1.37872359986 773168
1.37324573424 909048
1.36780045039 1058368
1.36238749044 1117180
1.35700659905 1016316
1.35165752341 912072
1.34634001318 1009276
1.3410538205 1061628
1.33579869992 972360
1.33057440839 947064
1.32538070524 1000924
1.32021735214 936236
1.31508411308 919212
1.30998075434 1080924
1.30490704445 1113732
1.29986275419 905448
1.29484765656 849728
1.28986152672 986888
1.28490414201 1109580
1.27997528189 1112228
1.27507472795 1045200
1.27020226385 978216
1.26535767533 849664
1.26054075014 877912
1.25575127808 958724
1.25098905092 891924
1.24625386242 931228
1.24154550825 1010012
1.23686378606 879520
1.23220849536 787584
1.22757943756 820480
1.22297641593 915364
1.21839923559 1023444
1.21384770346 975360
1.20932162828 969792
1.20482082056 921724
1.20034509256 811236
1.1958942583 756728
1.19146813351 774012
1.18706653563 855032
1.18268928376 802120
1.1783361987 777440
1.17400710286 867712
1.16970182031 847192
1.16542017671 807812
1.16116199931 763756
1.15692711694 806108
1.15271536001 861428
1.14852656044 840396
1.14436055168 882852
1.1402171687 918600
1.13609624795 885228
1.13199762736 744824
1.12792114632 771428
1.12386664567 887396
1.11983396765 815248
1.11582295594 735092
1.11183345561 765064
1.10786531312 732856
1.10391837628 750556
1.09999249426 842400
1.09608751757 820772
1.09220329805 724608
1.08833968885 807008
1.08449654441 833920
1.08067372044 846728
1.07687107395 930420
1.07308846319 868904
1.06932574764 776952
1.06558278802 724792
1.06185944629 788572
1.05815558557 834496
1.05447107021 825584
1.05080576571 863736
1.04715953875 792608
1.04353225717 851272
1.03992378994 834116
1.03633400718 760052
1.0327627801 827620
1.02920998105 892372
1.02567548344 890024
1.0221591618 908424
1.01866089171 918920
1.01518054982 776128
1.01171801384 745396
1.00827316251 842984
1.0048458756 930260
1.0014360339 991776
0.998043519233 831488
0.994668214385 788592
0.991310003153 865492
0.987968770307 937280
0.984644401588 960608
0.981336783697 941572
0.978045804283 975116
0.974771351936 906476
0.971513316178 808984
0.968271587452 816388
0.965046057113 967196
0.96183661742 925480
0.958643161525 765996
0.955465583466 692320
0.952303778159 791712
0.949157641387 963488
0.946027069791 1025140
0.942911960865 922988
0.939812212944 777232
0.936727725197 867004
0.933658397621 918032
0.930604131028 933392
0.927564827042 878288
0.924540388089 885684
0.921530717386 787968
0.918535718941 676992
0.915555297538 677960
0.912589358731 771480
0.90963780884 919816
0.906700554941 938904
0.903777504857 984692
0.900868567156 906816
0.897973651136 851480
0.895092666827 859704
0.892225524976 922932
0.889372137047 846252
0.886532415207 745072
0.883706272325 821068
0.880893621965 884536
0.878094378374 962096
0.875308456481 941332
0.872535771889 847832
0.869776240869 862652
0.867029780351 945052
0.86429630792 802200
0.861575741811 808896
0.858868000901 882504
0.856173004702 917200
0.853490673358 842704
0.850820927638 775584
0.848163688926 715660
0.845518879224 728804
0.842886421136 826256
0.840266237872 852640
0.837658253235 749116
0.835062391619 793060
0.832478578004 861944
0.829906737947 830188
0.827346797581 887048
0.824798683607 905240
0.82226232329 926612
0.819737644454 846764
0.817224575474 776560
0.814723045274 826192
0.812232983322 953552
0.809754319624 910712
0.807286984718 892400
0.804830909671 790700
0.802386026074 821856
0.799952266036 916188
0.79752956218 915216
0.795117847639 927512
0.79271705605 960256
0.790327121551 782552
0.787947978776 713436
0.785579562847 799196
0.783221809378 872708
0.780874654461 775848
0.778538034668 869872
0.776211887045 1004460
0.773896149107 1007760
0.771590758833 878864
0.769295654666 923528
0.767010775505 877068
0.7647360607 797920
0.762471450052 858800
0.760216883808 1037788
0.757972302654 1008124
0.755737647714 901272
0.753512860544 922676
0.751297883133 945092
0.749092657892 864048
0.746897127655 956344
0.744711235676 978956
0.74253492562 895828
0.740368141568 812492
0.738210828004 877500
0.736062929817 943668
0.733924392297 1093840
0.731795161131 1064152
0.729675182398 898512
0.727564402568 810816
0.725462768498 888992
0.723370227427 936304
0.721286726975 1015344
0.719212215137 1004552
0.717146640283 923272
0.715089951153 927892
0.713042096853 1055228
0.711003026854 956208
0.708972690988 852760
0.706951039442 839176
0.704938022761 928564
0.702933591839 1019880
0.70093769792 949668
0.698950292593 888320
0.696971327791 856760
0.695000755784 853108
0.693038529182 903076
0.691084600926 985392
0.689138924291 924132
0.687201452879 935372
0.685272140617 908904
0.683350941756 886176
0.681437810868 789188
0.67953270284 810248
0.677635572877 929536
0.675746376492 1032620
0.673865069513 904784
0.671991608071 776704
0.670125948602 773776
0.668268047845 907088
0.666417862838 996336
0.664575350917 1051676
0.662740469711 1080456
0.660913177141 970736
0.659093431418 977184
0.657281191041 1023468
0.655476414794 1064900
0.653679061742 979780
0.651889091231 961076
0.650106462886 969276
0.648331136605 935084
0.646563072563 867508
0.644802231203 931216
0.643048573239 1071976
0.64130205965 1062976
0.639562651681 919988
0.63783031084 817340
0.636104998892 958752
0.634386677865 1045648
0.632675310039 1056576
0.630970857949 886564
0.629273284385 791148
0.627582552382 897692
0.625898625227 990336
0.624221466451 995884
0.62255103983 928768
0.620887309381 913076
0.619230239361 909400
0.617579794267 964064
0.615935938829 935404
0.614298638015 895372
0.612667857024 912636
0.611043561284 930444
0.609425716454 1002964
0.60781428842 959924
0.606209243292 949708
0.604610547404 1008796
0.603018167312 1094772
0.601432069791 1105040
0.599852221835 1177968
0.598278590654 1179276
0.596711143674 1065232
0.595149848532 953736
0.593594673078 811156
